x,y,made
23.8,38.75,False
25.0,41.75,True
22.9,40.85,True
25.0,41.75,True
21.6,14.950000000000003,False
12.5,20.35,True
38.4,30.95,False
37.3,39.75,True
6.100000000000001,36.25,False
36.9,30.55,True
17.8,17.15,False
32.6,25.35,False
34.2,38.95,False
43.0,24.25,True
20.5,39.45,False
25.0,41.75,True
5.0,41.75,True
15.9,36.45,False
48.1,30.45,True
22.9,22.55,True
10.1,29.15,True
49.4,44.75,False
26.8,41.35,True
22.2,22.25,False
15.6,27.25,True
15.5,16.85,True
44.0,35.35,True
25.0,41.75,True
33.4,34.05,True
44.3,25.75,True
1.8999999999999986,45.05,False
25.0,41.75,True
40.5,42.75,False
44.8,29.65,True
31.5,22.35,False
46.5,39.25,True
38.3,27.75,False
22.4,41.45,False
18.9,21.15,True
23.7,23.15,False
15.5,25.35,False
2.1999999999999993,37.55,True
25.4,15.75,False
25.0,41.75,True
44.4,26.35,True
25.0,41.75,False
25.0,41.75,True
1.8999999999999986,42.35,True
49.3,42.35,False
25.0,41.75,False
25.0,41.75,True
25.0,41.75,True
12.1,20.45,False
14.2,19.55,True
45.1,39.85,True
39.6,21.15,True
47.0,29.45,False
14.4,41.65,True
25.0,41.75,True
25.0,41.75,True
12.1,18.65,False
24.0,41.45,False
35.5,28.35,False
6.300000000000001,22.75,False
25.0,41.75,True
20.2,20.35,False
20.8,33.25,False
5.5,35.05,False
25.0,41.75,False
26.0,21.65,True
24.1,17.05,False
11.5,41.15,True
25.0,41.75,False
29.6,28.85,True
21.1,23.65,False
29.6,35.05,True
10.4,29.05,False
25.0,41.75,False
24.1,22.35,False
25.0,39.25,False
21.0,37.35,True
22.6,26.35,True
37.0,39.55,True
44.8,28.05,False
32.3,23.05,False
30.2,38.05,True
25.5,33.55,True
25.0,41.75,False
26.3,34.85,False
21.0,37.25,True
27.7,35.75,False
39.7,42.75,True
9.0,22.55,True
1.6000000000000014,39.75,False
25.0,41.75,False
25.0,41.75,True
8.2,44.15,False
23.8,37.35,False
25.0,41.95,True
32.9,18.75,True
13.1,35.65,False
15.8,26.15,True
1.6000000000000014,39.15,False
2.6999999999999993,38.15,False
47.6,40.25,True
25.0,41.75,False
43.0,24.15,False
25.0,41.75,True
16.4,23.35,False
25.0,41.75,False
25.8,41.45,False
10.3,28.65,True
16.7,20.85,True
23.3,41.15,True
19.4,38.95,False
25.0,41.75,True
21.9,22.75,True
28.2,34.25,True
45.2,40.05,True
13.1,41.05,True
38.6,25.55,False
22.9,28.35,True
37.3,34.35,True
24.6,38.15,False
25.0,41.75,False
25.0,41.75,True
13.9,28.05,False
15.9,21.95,False
1.6999999999999993,40.85,False
8.2,22.05,False
45.1,26.65,True
2.5,3.3500000000000014,False
25.0,41.75,False
25.0,41.75,True
38.9,27.25,True
32.0,32.45,True
39.1,20.45,False
16.9,23.65,False
41.8,22.05,False
41.0,29.05,False
9.1,28.65,False
10.7,28.25,True
25.0,41.75,True
25.0,39.85,False
27.7,22.75,False
45.4,26.45,True
43.0,40.65,True
25.0,41.75,False
38.8,41.35,True
21.6,23.05,False
25.0,41.75,True
27.7,39.55,False
20.3,38.15,True
13.4,17.85,True
25.0,41.75,True
25.0,41.75,False
25.8,37.65,True
25.0,41.75,True
10.9,39.75,False
39.4,35.05,False
14.0,23.35,False
10.9,33.15,True
7.699999999999999,40.85,False
20.0,15.149999999999999,True
25.0,41.75,True
2.3999999999999986,41.45,False
38.1,19.85,False
25.0,41.75,True
25.4,36.95,False
1.3000000000000007,39.55,False
40.8,23.15,True
25.0,41.75,True
25.0,34.65,True
36.7,26.65,False
25.0,41.75,False
42.9,42.25,False
25.0,41.75,False
25.0,41.75,True
26.0,26.05,False
25.0,41.75,False
25.0,41.75,False
39.1,20.95,True
31.5,17.15,False
9.9,31.65,False
25.0,41.75,True
17.7,33.15,True
44.9,34.65,False
11.8,35.05,False
25.0,41.75,True
32.9,21.75,True
25.0,41.75,True
19.6,34.85,False
35.9,18.25,False
11.2,27.25,False
23.7,34.65,False
25.0,41.75,True
25.0,41.75,False
25.0,41.75,True
42.1,35.95,False
24.9,36.25,False
16.6,37.25,False
34.8,27.55,True
23.3,41.65,True
21.1,37.65,False
2.0,37.55,True
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
17.8,21.95,False
15.9,28.85,False
44.6,30.75,True
23.8,25.85,False
18.5,23.05,False
39.6,40.55,False
10.3,29.35,False
19.1,41.15,False
18.8,38.35,False
25.0,41.75,True
25.0,41.75,False
25.0,41.75,True
24.9,42.05,True
43.5,42.75,True
39.6,26.15,True
25.0,41.75,True
29.1,38.65,False
18.9,25.75,False
30.4,36.95,False
10.7,26.05,False
15.1,32.85,True
9.5,20.35,True
25.0,41.75,False
25.0,41.75,True
24.0,19.25,False
1.6999999999999993,40.25,False
25.0,41.75,True
30.1,25.55,False
25.0,41.75,False
25.0,41.75,True
24.9,20.05,False
14.4,19.55,False
25.0,41.75,False
48.4,40.05,False
26.8,31.65,True
25.8,39.55,False
11.8,38.95,True
25.0,41.75,False
25.0,41.75,False
25.0,41.75,True
10.1,27.95,False
25.0,41.75,False
4.600000000000001,38.95,True
48.7,39.85,True
22.1,40.65,True
25.4,43.15,True
25.0,41.75,True
25.0,41.75,True
10.3,20.05,False
36.9,29.45,True
41.0,41.05,True
25.0,41.75,False
34.2,38.35,False
22.1,39.25,True
25.0,41.75,True
12.6,28.25,False
25.4,37.65,False
45.1,42.75,False
47.9,28.65,False
25.0,41.75,False
25.0,33.85,True
10.7,40.05,False
22.9,41.45,True
32.6,42.55,True
20.2,39.85,False
36.7,25.85,True
