x,y,made
27.0,41.15,False
20.6,39.15,False
37.3,19.15,False
6.399999999999999,24.05,False
48.4,41.75,False
11.5,40.45,False
24.8,39.05,False
29.5,30.75,False
27.1,40.75,False
27.3,39.15,False
47.0,41.25,False
37.0,24.85,True
25.0,42.35,False
35.6,21.75,False
25.6,40.25,True
8.399999999999999,36.25,False
26.5,16.95,False
28.2,33.25,False
29.3,35.05,False
26.8,40.15,True
11.7,17.75,False
24.4,34.45,True
34.7,17.65,False
26.1,25.05,True
1.3000000000000007,38.55,False
26.4,27.15,False
25.0,42.35,True
25.2,31.45,False
48.2,40.65,True
23.4,38.05,True
24.4,40.05,True
24.4,39.75,True
14.3,17.15,False
19.3,38.45,False
24.8,41.15,False
38.9,18.95,True
25.3,40.75,True
24.4,29.25,True
33.2,17.05,True
28.8,40.75,False
23.4,33.75,False
14.2,18.05,True
7.600000000000001,22.75,False
25.2,40.95,False
47.1,37.25,False
24.7,40.15,True
25.0,42.35,True
25.6,29.35,False
23.7,41.35,False
25.5,40.95,True
27.9,34.85,False
35.4,17.45,True
23.4,40.85,False
18.2,40.05,False
25.0,42.35,True
23.7,40.35,False
23.9,40.65,True
43.6,22.85,False
32.1,32.85,False
23.9,39.65,True
40.0,22.05,True
4.5,26.55,True
25.7,42.05,False
27.1,33.25,True
27.7,41.35,True
25.6,33.15,False
14.7,17.05,True
37.8,19.25,False
48.2,35.35,False
47.2,37.95,True
25.0,42.35,True
41.1,20.15,True
35.9,14.350000000000001,False
48.2,40.95,False
11.3,25.85,False
33.2,27.35,False
24.9,40.75,True
24.0,14.950000000000003,True
26.2,25.05,False
23.2,40.25,True
35.9,17.15,False
15.7,30.85,False
27.9,35.75,True
24.4,39.15,False
24.2,38.75,True
24.4,36.55,False
8.899999999999999,20.25,False
24.8,30.55,True
28.1,17.05,False
22.0,23.75,False
37.0,16.15,True
25.0,42.35,True
13.9,23.25,True
29.9,37.65,True
22.9,41.55,False
24.0,41.35,True
12.9,18.55,True
1.6000000000000014,34.75,False
13.8,15.95,False
27.6,40.05,False
7.399999999999999,22.25,True
27.9,40.35,True
24.7,40.45,True
1.8999999999999986,38.75,False
28.6,17.25,False
25.7,40.25,False
26.4,40.45,True
32.4,31.75,True
13.8,26.55,True
40.2,19.95,False
32.0,21.65,False
5.699999999999999,26.05,False
19.9,41.55,False
37.0,30.05,True
26.1,40.45,False
1.8999999999999986,42.15,False
38.1,18.65,False
13.3,19.05,True
26.6,39.75,True
13.9,32.55,True
19.8,23.45,True
47.6,40.65,False
38.8,20.05,True
